Sequence id	Molecular Weight(Da)	Residues
AT2G01310.1	6045	53
AT2G29930.2	38882	339
AT2G29930.1	52628	459
AT2G29930.3	52628	459
AT2G01200.1	15886	143
AT2G01200.2	21663	191
AT2G24330.1	45926	408
AT2G01260.1	41644	369
AT2G01260.2	36515	324
AT2G01260.3	30109	267
AT2G24280.1	56234	494
AT2G24270.2	53061	496
AT2G24270.1	53061	496
AT2G24260.1	36522	350
AT2G01240.1	17787	160
AT2G01220.2	42277	388
AT2G01220.1	42148	387
AT2G24285.1	12015	104
AT2G29890.1	102951	909
AT2G29890.2	103122	911
AT2G29860.1	27327	240
AT2G29870.1	14721	139
AT2G24320.1	32853	286
AT2G01250.1	28171	242
AT2G01250.2	21554	184
AT2G24310.1	33805	322
AT2G29880.1	35622	308
AT2G24300.2	67970	599
AT2G24300.1	62685	552
AT2G24290.1	19240	173
AT2G01080.1	24764	231
AT2G29710.1	52077	467
AT2G01070.1	55777	496
AT2G07390.1	15878	137
AT2G29470.1	25941	225
AT2G29510.1	93319	839
AT2G29500.1	17563	153
AT2G29490.1	25915	224
AT2G29480.1	26173	225
AT2G07440.1	15670	136
AT2G29525.2	28709	251
AT2G29525.1	32981	289
AT2G29460.1	25840	224
AT2G29440.1	25618	223
AT2G07320.1	61860	534
AT2G07310.1	29789	263
AT2G07300.1	25595	219
AT2G07290.1	15356	134
AT2G07340.2	14476	127
AT2G07340.1	14605	128
AT2G29450.1	26001	224
AT2G07360.1	130079	1196
AT2G29380.1	40297	362
AT2G29420.1	26113	227
AT2G29410.1	42341	375
AT2G29400.1	36279	318
AT2G29390.1	31649	272
AT2G29390.3	29478	253
AT2G29390.2	30220	260
AT2G29390.4	20773	177
AT2G29390.5	25513	219
AT2G29530.1	9339	83
AT2G29530.2	9339	83
AT2G29540.1	14079	122
AT2G29540.2	14079	122
AT2G29540.3	16448	139
AT2G29550.1	50748	449
AT2G01031.1	29134	249
AT2G29650.2	44515	398
AT2G29650.1	56499	512
AT2G29650.3	43601	400
AT2G29640.1	40490	360
AT2G29630.2	71987	644
AT2G29630.1	71987	644
AT2G29670.1	60325	536
AT2G29700.1	16811	145
AT2G01060.2	25700	237
AT2G01060.1	31075	286
AT2G29690.1	69817	621
AT2G01050.1	56344	515
AT2G29680.1	59842	539
AT2G29680.2	56356	508
AT2G29660.1	41605	373
AT2G29620.1	85158	747
AT2G29570.1	29223	264
AT2G29560.1	51600	475
AT2G29580.1	54253	483
AT2G24370.1	87618	788
AT2G29600.1	47492	415
AT2G29590.1	17368	158
AT2G29605.1	45180	401
AT2G07280.1	46022	401
AT2G24390.1	17484	152
AT2G24390.2	17157	150
AT2G29940.1	159874	1426
AT2G24740.1	84529	755
AT2G46620.1	55911	491
AT2G46610.1	29681	250
AT2G46610.2	26441	224
AT2G24762.1	16851	156
AT2G24780.1	6131	52
AT2G01710.1	34557	311
AT2G01700.1	11605	104
AT2G24790.2	24305	220
AT2G24790.1	32324	294
AT2G01690.1	83913	743
AT2G01690.2	84041	744
AT2G01680.1	58833	532
AT2G24765.1	20242	182
AT2G24765.2	15343	135
AT2G01720.1	52220	464
AT2G46600.1	15169	135
AT2G46580.1	22620	198
AT2G01620.1	33005	292
AT2G01610.1	23954	222
AT2G24720.1	102848	920
AT2G24710.1	100810	895
AT2G01600.1	63629	571
AT2G01630.1	53993	501
AT2G01630.2	42564	391
AT2G46590.1	39114	357
AT2G46590.2	40538	369
AT2G01640.1	17819	156
AT2G01660.1	30204	288
AT2G01660.2	27326	259
AT2G46570.1	63902	569
AT2G46560.1	271248	2471
AT2G46550.1	44408	397
AT2G46540.1	6803	65
AT2G01670.1	21052	182
AT2G01650.1	51064	458
AT2G24700.1	63259	555
AT2G01730.1	68037	613
AT2G01740.1	62491	559
AT2G01810.1	79481	697
AT2G01800.1	33536	304
AT2G01790.1	30515	269
AT2G01780.1	31399	275
AT2G24880.1	11904	102
AT2G01820.1	101960	943
AT2G01770.1	26860	250
AT2G01830.2	120732	1080
AT2G01830.3	117956	1057
AT2G01830.1	117956	1057
AT2G46700.1	66601	595
AT2G46740.1	64891	590
AT2G46735.1	17866	160
AT2G46720.1	52176	466
AT2G46710.1	50783	455
AT2G01735.1	40098	359
AT2G24870.1	13814	118
AT2G24860.1	15466	144
AT2G46660.1	59566	530
AT2G46650.1	14873	132
AT2G46640.1	30779	269
AT2G46640.2	32288	281
AT2G01755.1	19591	173
AT2G01750.1	69773	629
AT2G46670.1	20539	183
AT2G01760.1	43100	382
AT2G46680.1	30511	258
AT2G46680.2	30270	256
AT2G24800.1	35641	329
AT2G24850.1	48819	445
AT2G24840.1	30265	264
AT2G24830.1	55935	497
AT2G24820.1	60608	539
AT2G24810.1	21608	193
AT2G46690.1	13950	121
AT2G24693.1	7859	73
AT2G24690.1	76632	682
AT2G24470.1	10352	92
AT2G24460.1	16864	150
AT2G24450.1	29170	280
AT2G01410.1	43022	387
AT2G01400.1	16154	146
AT2G24480.1	22594	198
AT2G30010.1	45477	398
AT2G30020.1	42420	396
AT2G30040.1	51675	463
AT2G24520.1	102663	931
AT2G01420.1	66344	612
AT2G01420.2	66743	616
AT2G24510.1	32965	281
AT2G30050.1	32643	302
AT2G24500.1	44987	395
AT2G24490.1	30981	279
AT2G30060.1	24389	217
AT2G30000.1	12429	110
AT2G29995.1	7904	71
AT2G29960.1	21534	201
AT2G29960.2	20588	191
AT2G01340.1	23706	215
AT2G24410.1	9571	78
AT2G29950.1	14081	125
AT2G24400.1	20054	178
AT2G24420.1	50352	440
AT2G24420.2	50352	440
AT2G01390.1	65604	577
AT2G01350.2	30846	281
AT2G01350.1	37955	348
AT2G01350.3	37125	342
AT2G01350.4	35500	327
AT2G24430.1	35841	316
AT2G24430.2	35841	316
AT2G01370.1	29437	252
AT2G29990.1	56504	508
AT2G01360.1	17589	158
AT2G24440.1	20712	183
AT2G29980.1	44077	386
AT2G29980.2	32904	288
AT2G29970.1	111925	1002
AT2G24530.1	28137	252
AT2G24540.1	41278	372
AT2G01430.1	31690	275
AT2G01540.1	20085	180
AT2G01530.1	17602	151
AT2G01520.1	17513	151
AT2G24640.1	75720	672
AT2G01510.1	66073	584
AT2G24630.1	79490	690
AT2G01560.1	33965	301
AT2G01580.1	20440	191
AT2G24680.1	95247	851
AT2G24670.1	29040	251
AT2G24650.1	162325	1440
AT2G01590.1	19283	174
AT2G01570.1	64036	587
AT2G01505.1	11756	103
AT2G24620.1	18209	157
AT2G24610.1	83455	726
AT2G01460.1	80585	723
AT2G30080.1	36022	341
AT2G01450.1	55494	486
AT2G01450.2	55494	486
AT2G01450.3	55494	486
AT2G01450.4	55494	486
AT2G01440.1	106255	953
AT2G30070.1	79128	712
AT2G01470.1	42794	393
AT2G01480.1	64550	567
AT2G01490.1	32028	283
AT2G01500.1	31453	271
AT2G24600.3	66573	601
AT2G24600.1	60643	548
AT2G24600.2	60643	548
AT2G24590.1	21915	196
AT2G24395.1	15057	132
AT2G24580.1	45702	416
AT2G24560.1	40815	363
AT2G24550.1	23062	208
AT2G24570.1	35012	321
AT2G46750.1	64971	591
AT2G29360.1	29186	271
AT2G41040.1	39231	352
AT2G41020.2	41526	382
AT2G41020.1	49815	463
AT2G41010.1	25377	238
AT2G41000.1	20646	184
AT2G41050.1	41807	376
AT2G41090.1	21728	191
AT2G41080.1	63440	565
AT2G41070.1	29618	262
AT2G41070.3	29618	262
AT2G41070.2	29618	262
AT2G41060.1	49027	451
AT2G41060.2	49027	451
AT2G40980.1	69106	617
AT2G40950.1	78439	721
AT2G12685.1	13245	118
AT2G40940.1	68334	613
AT2G40935.2	18573	166
AT2G40935.1	20799	190
AT2G40990.1	43961	386
AT2G40955.1	80172	679
AT2G12700.1	17684	151
AT2G40970.1	27555	248
AT2G40960.1	39836	351
AT2G12695.1	14582	130
AT2G41100.1	36808	324
AT2G41100.2	26551	235
AT2G41100.3	32802	289
AT2G41110.1	16820	149
AT2G41240.1	27217	242
AT2G41240.2	27089	241
AT2G41230.1	9628	88
AT2G12875.1	36902	325
AT2G41220.1	177754	1629
AT2G41210.1	88205	772
AT2G12880.1	14205	119
AT2G41200.1	17858	161
AT2G41260.1	23888	225
AT2G41260.2	29559	280
AT2G12905.1	8557	72
AT2G41290.1	41476	376
AT2G12900.1	30070	264
AT2G41280.1	11432	107
AT2G41250.1	32312	290
AT2G41130.1	27978	253
AT2G41120.1	29532	261
AT2G41140.1	64316	576
AT2G41190.1	58864	536
AT2G41180.1	15570	141
AT2G41170.1	43485	371
AT2G41160.1	31690	287
AT2G41150.1	29252	259
AT2G41150.2	46344	404
AT2G40930.1	103876	924
AT2G40925.1	46551	403
AT2G46390.1	4884	46
AT2G40660.1	42089	389
AT2G46380.1	85310	768
AT2G40650.1	43173	355
AT2G46375.1	14656	123
AT2G40670.1	18269	164
AT2G40640.1	43302	383
AT2G40640.2	39865	352
AT2G40640.3	35603	314
AT2G46400.1	33635	295
AT2G46410.1	11385	94
AT2G46440.1	71475	621
AT2G46430.1	81670	706
AT2G40700.1	68215	609
AT2G46420.1	39560	363
AT2G40690.1	45093	420
AT2G40680.1	35340	296
AT2G46450.1	73207	636
AT2G40630.1	58119	535
AT2G46370.1	64351	575
AT2G46370.2	64351	575
AT2G46370.3	55196	496
AT2G46300.1	27556	252
AT2G40570.1	58709	521
AT2G40570.2	52121	462
AT2G46290.1	38996	355
AT2G40560.1	34937	303
AT2G46280.3	28335	254
AT2G46280.1	36388	328
AT2G46280.2	36388	328
AT2G40580.1	35249	311
AT2G40620.1	40667	367
AT2G46310.1	33156	294
AT2G46320.1	39158	361
AT2G46320.2	28725	262
AT2G46320.3	28725	262
AT2G46360.1	11683	97
AT2G46340.1	114687	1029
AT2G40610.1	27261	253
AT2G46330.2	6062	57
AT2G46330.1	7602	73
AT2G40600.1	27478	257
AT2G40590.1	14729	131
AT2G46455.1	14296	129
AT2G40710.1	10544	93
AT2G40720.1	95394	860
AT2G46520.1	108658	972
AT2G40850.1	61366	561
AT2G40840.1	109777	955
AT2G46510.1	63306	566
AT2G40830.2	36577	328
AT2G40830.1	36577	328
AT2G40830.3	36577	328
AT2G40860.1	72854	658
AT2G40820.1	99252	903
AT2G40880.1	14422	125
AT2G46535.1	19627	175
AT2G40920.1	49948	436
AT2G40920.2	43092	377
AT2G40910.2	50327	442
AT2G40910.1	51309	449
AT2G40900.1	43049	394
AT2G40890.1	57928	508
AT2G46530.1	67228	601
AT2G46530.2	57690	514
AT2G46530.3	69664	622
AT2G46505.1	16842	151
AT2G40810.1	43832	393
AT2G40810.2	43832	393
AT2G40800.1	41737	377
AT2G46470.1	47898	431
AT2G40750.1	38646	346
AT2G46460.1	18956	160
AT2G40740.1	32489	292
AT2G40740.2	27468	248
AT2G40730.1	86046	798
AT2G40745.1	15577	137
AT2G40760.1	52678	474
AT2G46480.1	62092	528
AT2G40765.1	5976	57
AT2G40790.1	17314	154
AT2G46500.1	62626	566
AT2G46500.2	62626	566
AT2G41300.1	44392	394
AT2G46495.1	98434	878
AT2G40770.1	186316	1648
AT2G46490.1	14570	134
AT2G40780.1	19106	171
AT2G29370.1	28721	268
AT2G41310.1	25472	225
AT2G41330.1	44388	402
AT2G13320.1	15944	129
AT2G13290.1	42312	361
AT2G13290.2	42312	361
AT2G07040.1	72522	647
AT2G07050.1	86034	759
AT2G07120.1	40599	353
AT2G07110.1	17038	150
AT2G07090.1	18092	159
AT2G07140.1	43958	384
AT2G07020.1	78136	700
AT2G06960.1	16622	148
AT2G13270.1	42522	378
AT2G07000.1	3504	30
AT2G06990.1	111891	995
AT2G07240.1	100952	928
AT2G07215.1	27339	245
AT2G07260.1	35076	300
AT2G29300.1	28256	263
AT2G29350.2	24391	225
AT2G29350.1	28820	269
AT2G29350.3	25075	231
AT2G29340.2	27965	262
AT2G29340.1	32900	307
AT2G29330.1	27662	260
AT2G29320.1	28777	269
AT2G29310.1	28089	262
AT2G29290.1	28406	262
AT2G07190.1	51972	452
AT2G29180.1	18601	169
AT2G07180.1	49206	442
AT2G07170.1	90657	820
AT2G29190.1	106657	972
AT2G29200.1	106565	968
AT2G29220.1	68790	627
AT2G29260.1	35239	322
AT2G29250.1	68217	623
AT2G29240.1	109549	992
AT2G29210.1	100481	878
AT2G41440.1	64259	544
AT2G06845.1	34557	315
AT2G06860.1	105544	938
AT2G06850.1	34291	296
AT2G12935.1	16989	147
AT2G41350.1	33494	298
AT2G41350.2	33622	299
AT2G41340.1	24901	218
AT2G41360.1	42710	373
AT2G41430.3	13630	120
AT2G41430.1	18411	163
AT2G41430.4	18411	163
AT2G41430.2	18411	163
AT2G41370.1	54002	491
AT2G41390.1	15788	148
AT2G41420.1	10728	98
AT2G12945.1	14212	117
AT2G41410.1	23443	216
AT2G12940.1	24618	220
AT2G41400.1	16059	150
AT2G41380.1	30558	269
AT2G06914.1	18626	158
AT2G13150.1	29696	262
AT2G06925.1	16322	148
AT2G13126.1	7038	60
AT2G13100.1	53057	493
AT2G13070.1	26533	239
AT2G06904.1	24464	217
AT2G13125.1	13902	124
AT2G06908.1	15205	137
AT2G06906.1	13728	123
AT2G46760.1	66283	603
AT2G46770.1	40781	365
AT2G46780.1	34478	304
AT2G14010.1	92860	833
AT2G07777.1	29606	262
AT2G14000.1	39509	346
AT2G07749.1	27476	246
AT2G07671.1	8841	85
AT2G07776.2	12834	109
AT2G14020.1	18795	161
AT2G35612.1	9755	86
AT2G35610.1	73214	644
AT2G35605.1	11951	109
AT2G14050.1	73429	653
AT2G14045.1	14035	122
AT2G14045.2	14035	122
AT2G35615.1	48089	447
AT2G13980.1	19347	171
AT2G13975.1	11988	103
AT2G35550.1	29892	271
AT2G35550.2	24814	226
AT2G35550.3	24814	226
AT2G35550.4	24814	226
AT2G35540.1	65132	575
AT2G35530.1	43110	409
AT2G35520.1	12647	115
AT2G35520.2	12775	116
AT2G35580.1	41508	374
AT2G35585.1	17177	156
AT2G07773.1	31628	273
AT2G07771.2	28457	256
AT2G35600.1	38005	331
AT2G35620.1	64356	589
AT2G35635.1	17150	154
AT2G35710.3	13285	115
AT2G35710.1	56799	497
AT2G35710.2	44353	389
AT2G35700.1	21617	194
AT2G35690.1	74299	664
AT2G35680.1	37549	337
AT2G35670.1	85396	755
AT2G35720.1	59233	538
AT2G35660.1	48315	439
AT2G35660.2	36062	325
AT2G35660.3	36062	325
AT2G35733.1	7168	63
AT2G35736.1	6392	56
AT2G07676.1	14002	118
AT2G35730.1	13183	115
AT2G35630.1	217553	1978
AT2G35650.1	63796	556
AT2G14120.1	86645	780
AT2G14120.2	86693	780
AT2G14060.1	41371	359
AT2G07673.1	12958	106
AT2G07672.1	18846	159
AT2G35640.1	38306	340
AT2G07779.1	10563	91
AT2G07674.1	26673	251
AT2G14130.1	92819	808
AT2G14070.1	21996	196
AT2G14080.1	137919	1215
AT2G14110.1	21749	190
AT2G14100.1	58815	518
AT2G14095.1	26647	234
AT2G07675.1	14078	125
AT2G07751.1	13529	118
AT2G13960.1	17057	150
AT2G13960.2	13665	115
AT2G13950.1	59388	517
AT2G13840.1	47838	434
AT2G42290.1	71073	646
AT2G13820.1	16817	169
AT2G13820.2	13199	129
AT2G42280.1	39908	359
AT2G42280.2	32696	300
AT2G35300.1	10481	97
AT2G42270.1	247393	2172
AT2G35310.1	33214	288
AT2G35330.1	82506	738
AT2G35380.1	37978	336
AT2G35380.2	28163	248
AT2G35370.1	17947	165
AT2G35360.1	25522	225
AT2G35350.1	86523	783
AT2G35340.1	119129	1044
AT2G35320.1	35259	307
AT2G13810.1	50578	456
AT2G13800.1	66982	601
AT2G13730.1	16784	148
AT2G42200.1	40847	375
AT2G13720.1	26524	223
AT2G13760.1	24187	209
AT2G42260.1	28731	259
AT2G42210.1	17000	159
AT2G42210.2	18578	173
AT2G42210.3	17000	159
AT2G42210.4	17000	159
AT2G42230.2	62377	568
AT2G42230.1	61715	562
AT2G42250.1	58061	514
AT2G13790.1	68636	620
AT2G13770.1	39165	343
AT2G42240.1	31976	292
AT2G42240.2	33066	302
AT2G42220.1	25510	234
AT2G35390.1	38273	352
AT2G35390.2	43696	403
AT2G35390.3	37319	344
AT2G07505.1	16164	143
AT2G35510.1	64138	568
AT2G07560.1	105014	949
AT2G35500.1	42687	387
AT2G35490.1	40505	376
AT2G07640.1	16847	156
AT2G07630.1	52241	458
AT2G35480.1	23010	195
AT2G35470.1	18885	167
AT2G35460.1	26825	238
AT2G07520.1	25590	222
AT2G13865.1	23631	204
AT2G35450.1	38163	346
AT2G35430.1	27736	252
AT2G35740.1	63172	580
AT2G35420.1	28624	254
AT2G13900.1	76823	661
AT2G35410.1	33786	308
AT2G42190.1	16028	141
AT2G35750.1	6705	61
AT2G35770.1	52099	462
AT2G36110.1	28307	239
AT2G30395.1	22697	195
AT2G36100.1	21970	206
AT2G36090.1	35563	317
AT2G30390.1	56620	512
AT2G30380.1	59568	519
AT2G30400.1	36788	320
AT2G36145.1	19908	186
AT2G07706.1	34153	306
AT2G36180.1	16271	144
AT2G07705.1	7524	66
AT2G36170.1	14734	128
AT2G36160.1	16257	150
AT2G36130.1	18233	164
AT2G07707.1	18211	158
AT2G30370.1	25445	230
AT2G30350.1	37428	334
AT2G30350.2	41401	368
AT2G07785.1	10611	99
AT2G36070.1	53646	469
AT2G07695.1	33554	291
AT2G36060.1	16481	145
AT2G36060.2	16580	146
AT2G36060.3	16382	144
AT2G36050.1	29068	261
AT2G36080.2	20261	173
AT2G36080.1	28435	244
AT2G30360.1	49018	435
AT2G07696.1	17201	148
AT2G07698.1	85934	777
AT2G07702.1	17318	152
AT2G07701.1	12172	106
AT2G36040.1	6872	60
AT2G07708.1	16689	141
AT2G30500.1	60235	517
AT2G01940.1	50141	445
AT2G01940.2	40314	356
AT2G01940.3	50267	446
AT2G01930.1	31648	283
AT2G01930.2	31648	283
AT2G01920.1	35721	312
AT2G30490.1	57793	505
AT2G30505.1	35203	321
AT2G01910.1	69408	608
AT2G01910.2	64614	567
AT2G01950.1	125677	1143
AT2G01960.1	30549	260
AT2G30550.1	52802	464
AT2G30550.2	60403	529
AT2G01980.1	127190	1146
AT2G30540.1	11080	102
AT2G01970.1	68050	592
AT2G30530.1	41215	371
AT2G30520.1	65855	593
AT2G30520.2	60601	545
AT2G30520.3	60601	545
AT2G30480.1	71085	621
AT2G30480.2	64651	566
AT2G30480.3	80660	705
AT2G30470.1	87003	790
AT2G30410.1	12825	113
AT2G07714.1	22544	196
AT2G07713.1	13809	122
AT2G01850.1	38416	333
AT2G01900.1	47924	417
AT2G30420.1	13606	112
AT2G01870.1	17904	157
AT2G30460.1	22024	200
AT2G01890.1	38173	335
AT2G01890.2	34953	307
AT2G30440.1	37853	340
AT2G01880.1	37549	328
AT2G30430.1	8757	78
AT2G01860.1	55650	486
AT2G30340.1	29091	268
AT2G36030.1	7644	70
AT2G30330.1	17378	152
AT2G35840.1	47856	422
AT2G35840.2	47856	422
AT2G30170.1	32285	298
AT2G30170.2	23886	221
AT2G35830.1	20232	184
AT2G30160.1	35962	331
AT2G35820.1	21279	192
AT2G35850.1	9183	80
AT2G30150.1	49612	440
AT2G35860.1	49101	445
AT2G07774.1	13163	116
AT2G07772.1	20249	179
AT2G35880.1	46697	432
AT2G30200.1	41523	393
AT2G30200.2	38981	369
AT2G35810.1	22028	199
AT2G35800.1	90628	823
AT2G35795.1	11997	112
AT2G07678.1	27679	245
AT2G35790.1	26415	238
AT2G35780.1	51522	452
AT2G07679.1	6659	57
AT2G30140.1	51729	455
AT2G30140.2	51600	454
AT2G30090.1	43918	386
AT2G30130.1	21530	193
AT2G30120.1	19802	176
AT2G30115.1	16376	141
AT2G30110.1	120252	1080
AT2G30100.1	100800	897
AT2G07681.1	28487	256
AT2G30210.1	64028	570
AT2G30220.1	39672	358
AT2G35890.1	58853	520
AT2G30270.1	20207	182
AT2G30260.1	26238	232
AT2G07692.1	15238	136
AT2G30280.1	40079	346
AT2G07691.1	15974	136
AT2G30290.1	69876	625
AT2G30300.1	54587	500
AT2G36020.1	29550	258
AT2G30320.1	58972	510
AT2G36010.1	52598	483
AT2G36010.3	52839	485
AT2G36010.2	56422	514
AT2G30310.1	39739	359
AT2G36000.1	37953	333
AT2G36000.2	36437	318
AT2G35990.1	23315	213
AT2G07689.1	22739	214
AT2G35920.1	111040	995
AT2G30240.1	92191	831
AT2G35910.1	23881	217
AT2G35900.1	21239	192
AT2G30230.1	19842	177
AT2G35930.1	45823	411
AT2G30250.1	44134	393
AT2G35940.1	74464	680
AT2G35940.2	74464	680
AT2G35940.3	74464	680
AT2G35950.1	26024	219
AT2G07687.1	29743	265
AT2G35980.1	25659	227
AT2G35760.1	21513	201
AT2G35960.1	23263	210
AT2G35970.1	23162	211
AT2G42180.1	19516	166
AT2G41560.1	112751	1030
AT2G41550.1	52699	475
AT2G41540.1	51492	462
AT2G41540.2	51492	462
AT2G41540.3	51492	462
AT2G41530.1	31656	284
AT2G18380.1	22896	207
AT2G47150.1	21536	200
AT2G18370.1	11789	116
AT2G41570.1	48467	418
AT2G47180.1	39596	344
AT2G41600.2	18404	164
AT2G41600.1	17089	151
AT2G41600.3	23510	207
AT2G18390.1	21078	185
AT2G41590.1	42891	367
AT2G47170.1	20609	181
AT2G47160.1	78606	704
AT2G47160.2	81434	729
AT2G41610.1	35217	310
AT2G18360.1	35527	313
AT2G47140.1	26847	257
AT2G41510.1	64925	575
AT2G47090.1	85366	766
AT2G18290.1	21750	192
AT2G47070.1	98461	881
AT2G18280.1	43879	394
AT2G18280.2	43879	394
AT2G47110.1	17812	157
AT2G18350.1	29951	262
AT2G41520.1	122784	1108
AT2G41520.2	119258	1077
AT2G47115.1	34644	300
AT2G18340.1	49838	456
AT2G47130.1	26901	257
AT2G18330.1	71195	636
AT2G47120.1	27259	258
AT2G18320.1	12023	106
AT2G18300.1	37472	335
AT2G18300.2	37747	337
AT2G41500.1	61842	554
AT2G18400.1	11590	102
AT2G18410.1	41428	374
AT2G18410.2	33676	306
AT2G18480.1	54820	508
AT2G41700.1	209066	1882
AT2G41700.2	205151	1846
AT2G47260.1	37685	337
AT2G41690.1	28308	244
AT2G47250.1	82655	729
AT2G47270.1	11879	102
AT2G41680.1	57950	529
AT2G47280.1	37017	336
AT2G18490.1	29424	251
AT2G47310.1	58366	512
AT2G18510.1	39888	363
AT2G47300.2	92566	826
AT2G47300.3	73784	659
AT2G18500.1	35544	315
AT2G41705.1	50473	461
AT2G41620.1	96616	861
AT2G47240.1	74599	660
AT2G47240.2	74599	660
AT2G47230.1	79608	701
AT2G47210.1	49824	441
AT2G18440.1	8384	75
AT2G47200.1	9934	88
AT2G18420.1	10155	94
AT2G47190.1	31448	273
AT2G18450.1	69364	632
AT2G41670.1	42985	386
AT2G47220.1	52403	469
AT2G18465.1	30735	268
AT2G41660.1	32511	297
AT2G41650.1	7424	66
AT2G41640.1	57364	500
AT2G41630.1	34272	312
AT2G18470.1	66652	633
AT2G18460.2	27921	251
AT2G18460.1	23852	213
AT2G47060.1	39932	365
AT2G47060.2	39932	365
AT2G47060.3	29303	266
AT2G47060.4	43754	397
AT2G47050.1	23776	216
AT2G41490.1	47725	431
AT2G25000.1	30578	271
AT2G24990.1	61082	537
AT2G24980.1	63164	559
AT2G24970.1	17229	152
AT2G46870.1	34890	310
AT2G25010.1	57481	509
AT2G46860.1	24916	216
AT2G18140.1	37204	337
AT2G18130.1	50362	441
AT2G46880.2	36943	327
AT2G46880.1	45576	401
AT2G46890.1	38118	322
AT2G46850.1	70167	633
AT2G46830.1	66976	608
AT2G46830.2	57347	526
AT2G24920.1	16517	142
AT2G24915.1	17751	156
AT2G24910.1	18262	155
AT2G24900.1	29494	248
AT2G24930.1	105768	926
AT2G46840.1	23243	205
AT2G24940.1	11031	100
AT2G24950.1	47621	411
AT2G46820.1	18482	174
AT2G46820.2	18482	174
AT2G46810.1	43001	371
AT2G46800.1	43828	398
AT2G46800.2	43828	398
AT2G46790.2	39479	351
AT2G46790.1	52566	468
AT2G24960.1	92533	797
AT2G24945.1	17244	156
AT2G18150.1	37080	338
AT2G46900.1	71422	627
AT2G18160.1	19104	171
AT2G47030.1	64138	588
AT2G18240.1	25730	221
AT2G18240.2	25602	220
AT2G47020.2	28776	256
AT2G47020.1	46829	413
AT2G18230.1	24671	218
AT2G47010.1	50239	451
AT2G47010.2	50239	451
AT2G18245.1	44848	398
AT2G18220.1	88735	779
AT2G18250.1	19168	176
AT2G18270.1	9268	82
AT2G47040.1	64729	595
AT2G41480.1	37448	341
AT2G41470.1	42112	365
AT2G41460.1	60261	536
AT2G41450.1	112593	991
AT2G18260.1	35043	305
AT2G47000.1	139029	1286
AT2G46990.1	19445	175
AT2G46980.1	56675	516
AT2G46980.2	87997	793
AT2G18180.1	63359	558
AT2G46920.1	95572	856
AT2G46920.2	95572	856
AT2G18170.1	42300	368
AT2G46915.1	79384	708
AT2G46910.1	31581	284
AT2G46930.1	45945	416
AT2G18190.1	56290	494
AT2G18193.1	56470	495
AT2G18196.1	16765	142
AT2G18210.1	14432	124
AT2G46970.1	46580	416
AT2G18520.1	47328	418
AT2G46960.1	46039	403
AT2G46960.2	59605	519
AT2G46940.1	26809	242
AT2G18200.1	11706	101
AT2G46950.1	65230	572
AT2G47320.1	26042	230
AT2G18530.1	24662	213
AT2G18540.1	84771	707
AT2G42005.1	44962	413
AT2G18830.1	7524	65
AT2G13550.1	20865	181
AT2G42000.1	11806	115
AT2G13540.1	96549	848
AT2G13560.1	69657	623
AT2G41990.1	33113	297
AT2G18840.1	30250	281
AT2G13570.1	24619	215
AT2G18860.1	33776	296
AT2G18860.2	31619	277
AT2G13600.1	78091	697
AT2G18850.1	61724	543
AT2G42010.1	121102	1083
AT2G18870.1	26988	239
AT2G13500.1	39630	338
AT2G18790.1	129333	1172
AT2G18780.1	42522	370
AT2G18800.1	34146	305
AT2G41980.1	34558	305
AT2G18810.1	26637	234
AT2G41940.1	29572	257
AT2G41970.1	39378	365
AT2G13510.1	31930	284
AT2G41960.1	137908	1215
AT2G41950.1	30021	266
AT2G41945.1	17053	158
AT2G41945.2	17826	166
AT2G18876.1	43510	382
AT2G18876.2	32370	284
AT2G18880.1	47607	417
AT2G42030.1	47428	425
AT2G18950.1	43909	393
AT2G18940.1	92239	822
AT2G18930.1	8360	75
AT2G13690.1	61387	544
AT2G18920.1	15485	135
AT2G18960.1	104225	949
AT2G18915.1	65117	601
AT2G18915.2	66351	611
AT2G18970.1	7504	62
AT2G42130.1	29832	270
AT2G42130.4	32986	299
AT2G42130.3	30068	271
AT2G42130.5	22727	204
AT2G42130.2	29669	269
AT2G42170.1	37083	329
AT2G42160.1	55216	488
AT2G42150.1	70446	631
AT2G42140.1	19497	172
AT2G42120.2	49411	440
AT2G42120.1	49539	441
AT2G13680.1	220664	1923
AT2G18910.1	14339	131
AT2G42110.1	15687	137
AT2G42070.1	30794	280
AT2G13610.1	73315	649
AT2G42060.1	29361	268
AT2G42050.1	17896	139
AT2G42040.1	29190	269
AT2G13620.1	89861	821
AT2G42080.1	30839	263
AT2G13630.1	34255	297
AT2G42090.1	41423	366
AT2G18900.1	88013	804
AT2G13660.1	20488	177
AT2G18770.1	28974	260
AT2G18890.1	44534	392
AT2G18890.2	31476	277
AT2G42100.1	42118	378
AT2G13640.1	44465	384
AT2G13650.1	36840	333
AT2G13650.2	31799	284
AT2G40550.1	65756	589
AT2G18760.1	133594	1187
AT2G18600.1	21133	185
AT2G47390.1	106267	961
AT2G18590.1	49524	451
AT2G41790.1	110996	970
AT2G47380.1	7070	64
AT2G47400.1	13487	124
AT2G18610.1	9827	86
AT2G18620.1	37391	347
AT2G41820.1	97247	890
AT2G41810.1	40263	370
AT2G41800.1	40371	370
AT2G18640.1	40936	372
AT2G18630.1	45006	393
